uniquequestionid,response_wording
outcome_norm_env_1c_end,I'd like to do a bit more to help the environment
outcome_norm_env_1c_end,I'd like to do a lot more to help the environment
outcome_norm_env_1c_initial,I'm happy with what I do at the moment to help the environment
outcome_norm_env_1c_initial,I'd like to do a bit more to help the environment
outcome_norm_env_1c_initial,I'd like to do a lot more to help the environment
outcome_norm_env_1c_mid,I'm happy with what I do at the moment to help the environment
outcome_norm_env_1c_mid,I'd like to do a bit more to help the environment
outcome_norm_env_1c_mid,I'd like to do a lot more to help the environment
outdoor_drying,Yes
outdoor_drying,No
outdoor_drying,Don't know
outdoor_elec_space_heater,0
outdoor_elec_space_heater,1
outdoor_elec_space_heater,2
outdoor_elec_space_heater,3
outdoor_elec_space_heater,4
outdoor_elec_space_heater,5+
outdoor_gas_space_heater,0
outdoor_gas_space_heater,1
outdoor_gas_space_heater,2
outdoor_gas_space_heater,3
outdoor_gas_space_heater,4
outdoor_gas_space_heater,5+
outdoor_hot_tub,0
outdoor_hot_tub,1
outdoor_hot_tub,2
outdoor_hot_tub,3
outdoor_hot_tub,4
outdoor_hot_tub,5+
outdoor_light,0
outdoor_light,1
outdoor_light,2
outdoor_light,3
outdoor_light,4
outdoor_light,5+
outdoor_space,Yes - private
outdoor_space,Yes - shared with neighbours
outdoor_space,No
outdoor_water_feature,0
outdoor_water_feature,1
outdoor_water_feature,2
outdoor_water_feature,3
outdoor_water_feature,4
outdoor_water_feature,5+
overall_satisfaction_1b_end,1: Strongly disagree
overall_satisfaction_1b_end,2
overall_satisfaction_1b_end,3
overall_satisfaction_1b_end,4: Neither agree nor disagree
overall_satisfaction_1b_end,5
overall_satisfaction_1b_end,6
overall_satisfaction_1b_end,7: Strongly agree
overall_satisfaction_1b_initial,Strongly disagree: 1
overall_satisfaction_1b_initial,2
overall_satisfaction_1b_initial,3
overall_satisfaction_1b_initial,Neither agree nor disagree: 4
overall_satisfaction_1b_initial,5
overall_satisfaction_1b_initial,6
overall_satisfaction_1b_initial,Strongly agree: 7
overall_satisfaction_1b_mid,Strongly disagree: 1
overall_satisfaction_1b_mid,2
overall_satisfaction_1b_mid,3
overall_satisfaction_1b_mid,Neither agree nor disagree: 4
overall_satisfaction_1b_mid,5
overall_satisfaction_1b_mid,6
overall_satisfaction_1b_mid,Strongly agree: 7
payless_elec_4b_end,1: Strongly disagree
payless_elec_4b_end,2
payless_elec_4b_end,3
payless_elec_4b_end,4: Neither agree nor disagree
payless_elec_4b_end,5
payless_elec_4b_end,6
payless_elec_4b_end,7: Strongly agree
payless_gas_4b_end,1: Strongly disagree
payless_gas_4b_end,2
payless_gas_4b_end,3
payless_gas_4b_end,4: Neither agree nor disagree
payless_gas_4b_end,5
payless_gas_4b_end,6
payless_gas_4b_end,7: Strongly agree
paymore_renewables_4b_end,1: Strongly disagree
paymore_renewables_4b_end,2
paymore_renewables_4b_end,3
paymore_renewables_4b_end,4: Neither agree nor disagree
paymore_renewables_4b_end,5
paymore_renewables_4b_end,6
paymore_renewables_4b_end,7: Strongly agree
relationtoprimary,"Husband, wife or partner"
relationtoprimary,"Son or daughter, inc. adopted, step, foster and in-law"
relationtoprimary,"Parent, inc. step, foster and in-law"
relationtoprimary,"Brother or sister, inc. adopted, step, foster and in-law"
relationtoprimary,"Grand-child, inc. adopted, step, foster and in-law"
relationtoprimary,"Grand-parent, inc. adopted, step, foster and in-law"
relationtoprimary,Other relative
relationtoprimary,Non-relative
relationtoprimary,Lodger
relationtoprimary,Other unrelated
satis_energy_use_1b_end,I feel I am now doing everything practical to use as little energy as possible at home
satis_energy_use_1b_end,I think there is a bit more I could practically do to use less energy at home
satis_energy_use_1b_end,I think there is a lot more  I could practically do to use less energy at home
saveenergy_4b_end,1: Not important at all
saveenergy_4b_end,2
saveenergy_4b_end,3
saveenergy_4b_end,4: Somewhat important
saveenergy_4b_end,5
saveenergy_4b_end,6
saveenergy_4b_end,7: Very important
saveenergy_4b_initial,Not important at all: 1
saveenergy_4b_initial,2
saveenergy_4b_initial,3
saveenergy_4b_initial,Somewhat important: 4
saveenergy_4b_initial,5
saveenergy_4b_initial,6
saveenergy_4b_initial,Very important: 7
saveenergy_4b_mid,Not important at all: 1
saveenergy_4b_mid,2
saveenergy_4b_mid,3
saveenergy_4b_mid,Somewhat important: 4
saveenergy_4b_mid,5
saveenergy_4b_mid,6
saveenergy_4b_mid,Very important: 7
schwartz_achievement_4a_end,Not at all like me
schwartz_achievement_4a_end,Not like me
schwartz_achievement_4a_end,A little like me
schwartz_achievement_4a_end,Somewhat like me
schwartz_achievement_4a_end,Like me
schwartz_achievement_4a_end,Very much like me
schwartz_achievement_4a_initial,Not at all like me: 1
schwartz_achievement_4a_initial,Not like me: 2
schwartz_achievement_4a_initial,A little like me: 3
schwartz_achievement_4a_initial,Somewhat like me: 4
schwartz_achievement_4a_initial,Like me: 5
schwartz_achievement_4a_initial,Very much like me: 6
schwartz_achievement_4a_mid,Not at all like me: 1
schwartz_achievement_4a_mid,Not like me: 2
schwartz_achievement_4a_mid,A little like me: 3
schwartz_achievement_4a_mid,Somewhat like me: 4
schwartz_achievement_4a_mid,Like me: 5
schwartz_achievement_4a_mid,Very much like me: 6
schwartz_benevolence_nearby_4a_end,Not at all like me
schwartz_benevolence_nearby_4a_end,Not like me
schwartz_benevolence_nearby_4a_end,A little like me
schwartz_benevolence_nearby_4a_end,Somewhat like me
schwartz_benevolence_nearby_4a_end,Like me
schwartz_benevolence_nearby_4a_end,Very much like me
schwartz_benevolence_nearby_4a_initial,Not at all like me: 1
schwartz_benevolence_nearby_4a_initial,Not like me: 2
schwartz_benevolence_nearby_4a_initial,A little like me: 3
schwartz_benevolence_nearby_4a_initial,Somewhat like me: 4
schwartz_benevolence_nearby_4a_initial,Like me: 5
schwartz_benevolence_nearby_4a_initial,Very much like me: 6
schwartz_benevolence_nearby_4a_mid,Not at all like me: 1
schwartz_benevolence_nearby_4a_mid,Not like me: 2
schwartz_benevolence_nearby_4a_mid,A little like me: 3
schwartz_benevolence_nearby_4a_mid,Somewhat like me: 4
schwartz_benevolence_nearby_4a_mid,Like me: 5
schwartz_benevolence_nearby_4a_mid,Very much like me: 6
schwartz_benevolence_soc_4a_end,Not at all like me
schwartz_benevolence_soc_4a_end,Not like me
schwartz_benevolence_soc_4a_end,A little like me
schwartz_benevolence_soc_4a_end,Somewhat like me
schwartz_benevolence_soc_4a_end,Like me
schwartz_benevolence_soc_4a_end,Very much like me
schwartz_benevolence_soc_4a_initial,Not at all like me: 1
schwartz_benevolence_soc_4a_initial,Not like me: 2
schwartz_benevolence_soc_4a_initial,A little like me: 3
schwartz_benevolence_soc_4a_initial,Somewhat like me: 4
schwartz_benevolence_soc_4a_initial,Like me: 5
schwartz_benevolence_soc_4a_initial,Very much like me: 6
schwartz_benevolence_soc_4a_mid,Not at all like me: 1
schwartz_benevolence_soc_4a_mid,Not like me: 2
schwartz_benevolence_soc_4a_mid,A little like me: 3
schwartz_benevolence_soc_4a_mid,Somewhat like me: 4
schwartz_benevolence_soc_4a_mid,Like me: 5
schwartz_benevolence_soc_4a_mid,Very much like me: 6
schwartz_conformity_4a_end,Not at all like me
schwartz_conformity_4a_end,Not like me
schwartz_conformity_4a_end,A little like me
schwartz_conformity_4a_end,Somewhat like me
schwartz_conformity_4a_end,Like me
schwartz_conformity_4a_end,Very much like me
schwartz_conformity_4a_initial,Not at all like me: 1
schwartz_conformity_4a_initial,Not like me: 2
schwartz_conformity_4a_initial,A little like me: 3
schwartz_conformity_4a_initial,Somewhat like me: 4
schwartz_conformity_4a_initial,Like me: 5
schwartz_conformity_4a_initial,Very much like me: 6
schwartz_conformity_4a_mid,Not at all like me: 1
schwartz_conformity_4a_mid,Not like me: 2
schwartz_conformity_4a_mid,A little like me: 3
schwartz_conformity_4a_mid,Somewhat like me: 4
schwartz_conformity_4a_mid,Like me: 5
schwartz_conformity_4a_mid,Very much like me: 6
schwartz_hedonism_4a_end,Not at all like me
schwartz_hedonism_4a_end,Not like me
schwartz_hedonism_4a_end,A little like me
schwartz_hedonism_4a_end,Somewhat like me
schwartz_hedonism_4a_end,Like me
schwartz_hedonism_4a_end,Very much like me
schwartz_hedonism_4a_initial,Not at all like me: 1
schwartz_hedonism_4a_initial,Not like me: 2
schwartz_hedonism_4a_initial,A little like me: 3
schwartz_hedonism_4a_initial,Somewhat like me: 4
schwartz_hedonism_4a_initial,Like me: 5
schwartz_hedonism_4a_initial,Very much like me: 6
schwartz_hedonism_4a_mid,Not at all like me: 1
schwartz_hedonism_4a_mid,Not like me: 2
schwartz_hedonism_4a_mid,A little like me: 3
schwartz_hedonism_4a_mid,Somewhat like me: 4
schwartz_hedonism_4a_mid,Like me: 5
schwartz_hedonism_4a_mid,Very much like me: 6
schwartz_power_4a_end,Not at all like me
schwartz_power_4a_end,Not like me
schwartz_power_4a_end,A little like me
schwartz_power_4a_end,Somewhat like me
schwartz_power_4a_end,Like me
schwartz_power_4a_end,Very much like me
schwartz_power_4a_initial,Not at all like me: 1
schwartz_power_4a_initial,Not like me: 2
schwartz_power_4a_initial,A little like me: 3
schwartz_power_4a_initial,Somewhat like me: 4
schwartz_power_4a_initial,Like me: 5
schwartz_power_4a_initial,Very much like me: 6
schwartz_power_4a_mid,Not at all like me: 1
schwartz_power_4a_mid,Not like me: 2
schwartz_power_4a_mid,A little like me: 3
schwartz_power_4a_mid,Somewhat like me: 4
schwartz_power_4a_mid,Like me: 5
schwartz_power_4a_mid,Very much like me: 6
schwartz_security_4a_end,Not at all like me
schwartz_security_4a_end,Not like me
schwartz_security_4a_end,A little like me
schwartz_security_4a_end,Somewhat like me
schwartz_security_4a_end,Like me
schwartz_security_4a_end,Very much like me
schwartz_security_4a_initial,Not at all like me: 1
schwartz_security_4a_initial,Not like me: 2
schwartz_security_4a_initial,A little like me: 3
schwartz_security_4a_initial,Somewhat like me: 4
schwartz_security_4a_initial,Like me: 5
schwartz_security_4a_initial,Very much like me: 6
schwartz_security_4a_mid,Not at all like me: 1
schwartz_security_4a_mid,Not like me: 2
schwartz_security_4a_mid,A little like me: 3
schwartz_security_4a_mid,Somewhat like me: 4
schwartz_security_4a_mid,Like me: 5
schwartz_security_4a_mid,Very much like me: 6
schwartz_self_direction_4a_end,Not at all like me
schwartz_self_direction_4a_end,Not like me
schwartz_self_direction_4a_end,A little like me
schwartz_self_direction_4a_end,Somewhat like me
schwartz_self_direction_4a_end,Like me
schwartz_self_direction_4a_end,Very much like me
schwartz_self_direction_4a_initial,Not at all like me: 1
schwartz_self_direction_4a_initial,Not like me: 2
schwartz_self_direction_4a_initial,A little like me: 3
schwartz_self_direction_4a_initial,Somewhat like me: 4
schwartz_self_direction_4a_initial,Like me: 5
schwartz_self_direction_4a_initial,Very much like me: 6
schwartz_self_direction_4a_mid,Not at all like me: 1
schwartz_self_direction_4a_mid,Not like me: 2
schwartz_self_direction_4a_mid,A little like me: 3
schwartz_self_direction_4a_mid,Somewhat like me: 4
schwartz_self_direction_4a_mid,Like me: 5
schwartz_self_direction_4a_mid,Very much like me: 6
schwartz_stimulation_4a_end,Not at all like me
schwartz_stimulation_4a_end,Not like me
schwartz_stimulation_4a_end,A little like me
schwartz_stimulation_4a_end,Somewhat like me
schwartz_stimulation_4a_end,Like me
schwartz_stimulation_4a_end,Very much like me
schwartz_stimulation_4a_initial,Not at all like me: 1
schwartz_stimulation_4a_initial,Not like me: 2
schwartz_stimulation_4a_initial,A little like me: 3
schwartz_stimulation_4a_initial,Somewhat like me: 4
schwartz_stimulation_4a_initial,Like me: 5
schwartz_stimulation_4a_initial,Very much like me: 6
schwartz_stimulation_4a_mid,Not at all like me: 1
schwartz_stimulation_4a_mid,Not like me: 2
schwartz_stimulation_4a_mid,A little like me: 3
schwartz_stimulation_4a_mid,Somewhat like me: 4
schwartz_stimulation_4a_mid,Like me: 5
schwartz_stimulation_4a_mid,Very much like me: 6
schwartz_tradition_4a_end,Not at all like me
schwartz_tradition_4a_end,Not like me
schwartz_tradition_4a_end,A little like me
schwartz_tradition_4a_end,Somewhat like me
schwartz_tradition_4a_end,Like me
schwartz_tradition_4a_end,Very much like me
schwartz_tradition_4a_initial,Not at all like me: 1
schwartz_tradition_4a_initial,Not like me: 2
schwartz_tradition_4a_initial,A little like me: 3
schwartz_tradition_4a_initial,Somewhat like me: 4
schwartz_tradition_4a_initial,Like me: 5
schwartz_tradition_4a_initial,Very much like me: 6
schwartz_tradition_4a_mid,Not at all like me: 1
schwartz_tradition_4a_mid,Not like me: 2
schwartz_tradition_4a_mid,A little like me: 3
schwartz_tradition_4a_mid,Somewhat like me: 4
schwartz_tradition_4a_mid,Like me: 5
schwartz_tradition_4a_mid,Very much like me: 6
schwartz_universalism_4a_end,Not at all like me
schwartz_universalism_4a_end,Not like me
schwartz_universalism_4a_end,A little like me
schwartz_universalism_4a_end,Somewhat like me
schwartz_universalism_4a_end,Like me
schwartz_universalism_4a_end,Very much like me
schwartz_universalism_4a_initial,Not at all like me: 1
schwartz_universalism_4a_initial,Not like me: 2
schwartz_universalism_4a_initial,A little like me: 3
schwartz_universalism_4a_initial,Somewhat like me: 4
schwartz_universalism_4a_initial,Like me: 5
schwartz_universalism_4a_initial,Very much like me: 6
schwartz_universalism_4a_mid,Not at all like me: 1
schwartz_universalism_4a_mid,Not like me: 2
schwartz_universalism_4a_mid,A little like me: 3
schwartz_universalism_4a_mid,Somewhat like me: 4
schwartz_universalism_4a_mid,Like me: 5
schwartz_universalism_4a_mid,Very much like me: 6
signedup,Yes
signedup,"No. If no, who agreed? [Enter name and relationship to respondent]"
smart_automation,Own and use
smart_automation,Own but don't use
smart_automation,Don't own
smart_automation_mid,Own and use
smart_automation_mid,Own but don't use
smart_automation_mid,Don't own
smart_monitors,Own and use
smart_monitors,Own but don't use
smart_monitors,Don't own
smart_monitors_mid,Own and use
smart_monitors_mid,Own but don't use
smart_monitors_mid,Don't own
smartphone,0
smartphone,1
smartphone,2
smartphone,3
smartphone,4
smartphone,5+
sound_system,0
sound_system,1
sound_system,2
sound_system,3
sound_system,4
sound_system,5+
structural_changes_mid,Divided a room (e.g. by adding a partitioning wall)
structural_changes_mid,Joined rooms together (e.g. by knocking down a wall)
structural_changes_mid,"Added new rooms (e.g. extension, loft extension)"
tablet,0
tablet,1
tablet,2
tablet,3
tablet,4
tablet,5+
tablet_taafi_avoid_7_initial,Absolutely false: 1
tablet_taafi_avoid_7_initial,2
tablet_taafi_avoid_7_initial,3
tablet_taafi_avoid_7_initial,Neutral: 4
tablet_taafi_avoid_7_initial,5
tablet_taafi_avoid_7_initial,6
tablet_taafi_avoid_7_initial,Absolutely true: 7
tablet_taafi_enjoy_7_initial,Absolutely false: 1
tablet_taafi_enjoy_7_initial,2
tablet_taafi_enjoy_7_initial,3
tablet_taafi_enjoy_7_initial,Neutral: 4
tablet_taafi_enjoy_7_initial,5
tablet_taafi_enjoy_7_initial,6
tablet_taafi_enjoy_7_initial,Absolutely true: 7
tablet_taafi_fear_7_initial,Absolutely false: 1
tablet_taafi_fear_7_initial,2
tablet_taafi_fear_7_initial,3
tablet_taafi_fear_7_initial,Neutral: 4
tablet_taafi_fear_7_initial,5
tablet_taafi_fear_7_initial,6
tablet_taafi_fear_7_initial,Absolutely true: 7
tablet_taafi_important_7_initial,Absolutely false: 1
tablet_taafi_important_7_initial,2
tablet_taafi_important_7_initial,3
tablet_taafi_important_7_initial,Neutral: 4
tablet_taafi_important_7_initial,5
tablet_taafi_important_7_initial,6
tablet_taafi_important_7_initial,Absolutely true: 7
tablet_taafi_install_7_initial,Absolutely false: 1
tablet_taafi_install_7_initial,2
tablet_taafi_install_7_initial,3
tablet_taafi_install_7_initial,Neutral: 4
tablet_taafi_install_7_initial,5
tablet_taafi_install_7_initial,6
tablet_taafi_install_7_initial,Absolutely true: 7
tablet_taafi_learn_apps_7_initial,Absolutely false: 1
tablet_taafi_learn_apps_7_initial,2
tablet_taafi_learn_apps_7_initial,3
tablet_taafi_learn_apps_7_initial,Neutral: 4
tablet_taafi_learn_apps_7_initial,5
tablet_taafi_learn_apps_7_initial,6
tablet_taafi_learn_apps_7_initial,Absolutely true: 7
tablet_taafi_understand_7_initial,Absolutely false: 1
tablet_taafi_understand_7_initial,2
tablet_taafi_understand_7_initial,3
tablet_taafi_understand_7_initial,Neutral: 4
tablet_taafi_understand_7_initial,5
tablet_taafi_understand_7_initial,6
tablet_taafi_understand_7_initial,Absolutely true: 7
television,0
television,1
television,2
television,3
television,4
television,5+
transport_car_8_initial,1: Very badly connected
transport_car_8_initial,2
transport_car_8_initial,3
transport_car_8_initial,4
transport_car_8_initial,5
transport_car_8_initial,6
transport_car_8_initial,7: Very well connected
transport_cycle_8_initial,1: Very badly connected
transport_cycle_8_initial,2
transport_cycle_8_initial,3
transport_cycle_8_initial,4
transport_cycle_8_initial,5
transport_cycle_8_initial,6
transport_cycle_8_initial,7: Very well connected
transport_foot_8_initial,1: Very badly connected
transport_foot_8_initial,2
transport_foot_8_initial,3
transport_foot_8_initial,4
transport_foot_8_initial,5
transport_foot_8_initial,6
transport_foot_8_initial,7: Very well connected
transport_public_8_initial,1: Very badly connected
transport_public_8_initial,2
transport_public_8_initial,3
transport_public_8_initial,4
transport_public_8_initial,5
transport_public_8_initial,6
transport_public_8_initial,7: Very well connected
vacuum_cleaner,0
vacuum_cleaner,1
vacuum_cleaner,2
vacuum_cleaner,3
vacuum_cleaner,4
vacuum_cleaner,5+
vacuum_cleaner_mid,Replaced
vacuum_cleaner_mid,Got or installed additional
vacuum_cleaner_mid,Fallen out of use
washing_machine_mid,Replaced
washing_machine_mid,Got or installed additional
washing_machine_mid,Fallen out of use
weeklyhoursofwork,0
weeklyhoursofwork,1-10
weeklyhoursofwork,11-20
weeklyhoursofwork,21-30
weeklyhoursofwork,31-40
weeklyhoursofwork,41-50
weeklyhoursofwork,51+
weeklyhoursofwork,0-10
weeklyhoursofwork_repeat_end,0
weeklyhoursofwork_repeat_end,1-10
weeklyhoursofwork_repeat_end,11-20
weeklyhoursofwork_repeat_end,21-30
weeklyhoursofwork_repeat_end,31-40
weeklyhoursofwork_repeat_end,41-50
weeklyhoursofwork_repeat_end,51+
weeklyhoursofwork_repeat_mid,0
weeklyhoursofwork_repeat_mid,1-10
weeklyhoursofwork_repeat_mid,11-20
weeklyhoursofwork_repeat_mid,21-30
weeklyhoursofwork_repeat_mid,31-40
weeklyhoursofwork_repeat_mid,41-50
weeklyhoursofwork_repeat_mid,51+
whyparticipate_energyuse_4b_initial,1: Not a motivation at all
whyparticipate_energyuse_4b_initial,2
whyparticipate_energyuse_4b_initial,3
whyparticipate_energyuse_4b_initial,4
whyparticipate_energyuse_4b_initial,5
whyparticipate_energyuse_4b_initial,6
whyparticipate_energyuse_4b_initial,7: Very strong motivation
whyparticipate_env_4b_initial,1: Not a motivation at all
whyparticipate_env_4b_initial,2
whyparticipate_env_4b_initial,3
whyparticipate_env_4b_initial,4
whyparticipate_env_4b_initial,5
whyparticipate_env_4b_initial,6
whyparticipate_env_4b_initial,7: Very strong motivation
whyparticipate_help_4b_initial,1: Not a motivation at all
whyparticipate_help_4b_initial,2
whyparticipate_help_4b_initial,3
whyparticipate_help_4b_initial,4
whyparticipate_help_4b_initial,5
whyparticipate_help_4b_initial,6
whyparticipate_help_4b_initial,7: Very strong motivation
whyparticipate_money_4b_initial,1: Not a motivation at all
whyparticipate_money_4b_initial,2
whyparticipate_money_4b_initial,3
whyparticipate_money_4b_initial,4
whyparticipate_money_4b_initial,5
whyparticipate_money_4b_initial,6
whyparticipate_money_4b_initial,7: Very strong motivation
whyparticipate_other_4b_initial,1: Not a motivation at all
whyparticipate_other_4b_initial,2
whyparticipate_other_4b_initial,3
whyparticipate_other_4b_initial,4
whyparticipate_other_4b_initial,5
whyparticipate_other_4b_initial,6
whyparticipate_other_4b_initial,7: Very strong motivation
whyparticipate_persuaded_4b_initial,1: Not a motivation at all
whyparticipate_persuaded_4b_initial,2
whyparticipate_persuaded_4b_initial,3
whyparticipate_persuaded_4b_initial,4
whyparticipate_persuaded_4b_initial,5
whyparticipate_persuaded_4b_initial,6
whyparticipate_persuaded_4b_initial,7: Very strong motivation
whyparticipate_tablet_4b_initial,1: Not a motivation at all
whyparticipate_tablet_4b_initial,2
whyparticipate_tablet_4b_initial,3
whyparticipate_tablet_4b_initial,4
whyparticipate_tablet_4b_initial,5
whyparticipate_tablet_4b_initial,6
whyparticipate_tablet_4b_initial,7: Very strong motivation
whyparticipate_tech_4b_initial,1: Not a motivation at all
whyparticipate_tech_4b_initial,2
whyparticipate_tech_4b_initial,3
whyparticipate_tech_4b_initial,4
whyparticipate_tech_4b_initial,5
whyparticipate_tech_4b_initial,6
whyparticipate_tech_4b_initial,7: Very strong motivation
whyparticipate_temp_and_humid_4b_initial,1: Not a motivation at all
whyparticipate_temp_and_humid_4b_initial,2
whyparticipate_temp_and_humid_4b_initial,3
whyparticipate_temp_and_humid_4b_initial,4
whyparticipate_temp_and_humid_4b_initial,5
whyparticipate_temp_and_humid_4b_initial,6
whyparticipate_temp_and_humid_4b_initial,7: Very strong motivation
wine_cooler_mid,Replaced
wine_cooler_mid,Got or installed additional
wine_cooler_mid,Fallen out of use
workingstatus,Paid work
workingstatus,Self-employed
workingstatus,Unemployed (not seeking work)
workingstatus,Unemployed (seeking work)
workingstatus,"A student in University, college, higher education or adult education"
workingstatus,A student at school or in further education
workingstatus,Voluntary or unpaid work
workingstatus,Retired
workingstatus,Looking after home/family
workingstatus,Permanently sick/disabled
workingstatus,Pre-school/ nursery
workingstatus,Other
workingstatus_repeat_end,Paid work
workingstatus_repeat_end,Self-employed
workingstatus_repeat_end,Unemployed (not seeking work)
workingstatus_repeat_end,Unemployed (seeking work)
workingstatus_repeat_end,"A student in University, college, higher education or adult education"
workingstatus_repeat_end,A student at school or in further education
workingstatus_repeat_end,Voluntary or unpaid work
workingstatus_repeat_end,Retired
workingstatus_repeat_end,Looking after home/family
workingstatus_repeat_end,Permanently sick/disabled
workingstatus_repeat_end,Other
workingstatus_repeat_mid,Paid work
workingstatus_repeat_mid,Self-employed
workingstatus_repeat_mid,Unemployed (not seeking work)
workingstatus_repeat_mid,Unemployed (seeking work)
workingstatus_repeat_mid,"A student in University, college, higher education or adult education"
workingstatus_repeat_mid,A student at school or in further education
workingstatus_repeat_mid,Voluntary or unpaid work
workingstatus_repeat_mid,Retired
workingstatus_repeat_mid,Looking after home/family
workingstatus_repeat_mid,Permanently sick/disabled
workingstatus_repeat_mid,Other
